year,month,月份,分区,GPU类型,GPU卡数,单价,总价
2023,4,2023/4月,SH1024/IRDC_A100_40G,Tesla_A100_SXM4_40GB,8,2577.93,20623.43
2023,4,2023/4月,SH1988/IRDC_V100_16G,Tesla_V100_PCIE_16GB,48,1735.47,83302.51
2023,4,2023/4月,SH40/IRDC_1080Ti,GeForce_GTX_1080_Ti,80,737.15,58972.23
2023,5,2023/5月,SH1024/IRDC_A100_40G,Tesla_A100_SXM4_40GB,8,2577.93,20623.43
2023,5,2023/5月,SH1988/IRDC_V100_16G,Tesla_V100_PCIE_16GB,24,1735.47,41651.26
2023,5,2023/5月,SH40/IRDC_1080Ti,GeForce_GTX_1080_Ti,80,737.15,58972.23
2023,6,2023/6月,SH1024/IRDC_A100_40G,Tesla_A100_SXM4_40GB,8,2577.93,20623.43
2023,6,2023/6月,SH1988/IRDC_V100_16G,Tesla_V100_PCIE_16GB,8,1735.47,41651.26
2023,6,2023/6月,SH40/IRDC_1080Ti,GeForce_GTX_1080_Ti,80,737.15,58972.23
2023,7,2023/7月,SH1024/IRDC_A100_40G,Tesla_A100_SXM4_40GB,8,2577.93,20623.43
2023,7,2023/7月,SH1988/IRDC_V100_16G,Tesla_V100_PCIE_16GB,8,1735.47,41651.26
2023,7,2023/7月,SH40/IRDC_1080Ti,GeForce_GTX_1080_Ti,64,737.15,47177.6