月份,总值,净值,折旧,用途,类别
2023/3月,1237405.23,363029.31,21383.08,办公,Total
2023/3月,14731.01,4321.78,254.56,办公,Avg
2023/3月,2396634.26,991776.2,27439.18,项目,Total
2023/3月,28531.36,11806.86,326.66,项目,Avg
2023/4月,1210458.62,335836.41,20895.95,办公,Total
2023/4月,15130.73,4197.96,261.2,办公,Avg
2023/4月,2383109.11,972714.28,26616.94,项目,Total
2023/4月,29788.86,12158.93,332.71,项目,Avg
2023/5月,1121673.95,301433.16,18906.96,办公,Total
2023/5月,14758.87,3966.23,248.78,办公,Avg
2023/5月,2370374.6,959790.48,26263.2,项目,Total
2023/5月,31189.14,12628.82,345.57,项目,Avg
2023/6月,1116273.959,289514.95,17291.68,办公,Total
2023/6月,6684.28,1733.62,103.54,办公,Avg
2023/6月,2408587.32,946807.35,27037.04,项目,Total
2023/6月,17204.2,6762.91,193.12,项目,Avg