业务线,序号,任务ID,任务名称,创建人,任务状态,创建时间,预计完成时间,实际完成时间,任务延期时长/天,任务总时长/天,预算单ID,预算单名称,WBS编号,利润中心,利润中心编号,一级部门,二级部门,三级部门,数据量（张）,数据存储,数据集群,费用（元）,账单确认,是否有数据包被打回,任务流程
DX,DX-BZ-2023-0105,17829,合并任务17134和17147，标注乒乓球检测和乒乓球logo完整性标注,冯律,验收中,2023/6/28,2023/6/29,,,,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,lustre,SH-40,714.36,待确认,FALSE,创建(2023-06-28) -> 文件上传(2023-06-28) -> 文件上传成功(2023-06-28) -> 运营调整任务完成时间(2023-06-28) -> 审核通过(2023-06-28) -> 标注完成(2023-06-28) -> 运营调整任务完成时间(2023-06-29) 
DX,DX-BZ-2023-0075,17061,商品检测框标注,江心雨,任务终止,2023/4/6,2023/4/30,,,,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,78,lustre,SH-40,13.75,已确认,FALSE,创建(2023-04-06) -> 文件上传(2023-04-06) -> 文件上传成功(2023-04-06) -> 运营调整任务完成时间(2023-04-06) -> 审核通过(2023-04-06) -> 任务标注中被运营撤回到审核中(2023-04-06) -> 运营调整任务完成时间(2023-04-06) -> 审核通过(2023-04-06) -> 终止任务(2023-04-06) 
DX,DX-BZ-2023-0003,16022,有预标注的wtt场地的人体检测和29关键点标注(修正标注),冯律,任务终止,2023/1/5,2023/1/8,,,,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,500,lustre,SH-40,82.6,已确认,FALSE,创建(2023-01-05) -> 文件上传(2023-01-05) -> 文件上传失败(2023-01-05) -> 文件上传(2023-01-05) -> 重新提交任务(2023-01-05) -> 预标注数据上传失败(2023-01-05) -> 文件上传(2023-01-05) -> 重新提交任务(2023-01-05) -> 预标注数据上传失败(2023-01-05) -> 文件上传(2023-01-06) -> 重新提交任务(2023-01-06) -> 文件上传成功(2023-01-06) -> 预标注数据上传成功(2023-01-06) -> 运营调整任务完成时间(2023-01-06) -> 审核通过(2023-01-06) -> 终止任务(2023-01-17) 
DX,DX-BZ-2023-0104,17781,篮球检测标注,冯律,任务完成,2023/6/21,2023/6/21,2023/6/23,2,2,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,3032,lustre,SH-40,148.49,已确认,FALSE,创建(2023-06-21) -> 文件上传(2023-06-21) -> 文件上传成功(2023-06-21) -> 运营调整任务完成时间(2023-06-21) -> 审核通过(2023-06-21) -> 标注完成(2023-06-21) -> 标注验收通过(2023-06-23) 
DX,DX-BZ-2023-0103,17760,篮球检测标注,冯律,任务完成,2023/6/19,2023/6/20,2023/6/23,3,4,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,500,lustre,SH-40,341.68,已确认,FALSE,创建(2023-06-19) -> 文件上传(2023-06-19) -> 文件上传成功(2023-06-19) -> 运营调整任务完成时间(2023-06-20) -> 审核通过(2023-06-20) -> 标注完成(2023-06-20) -> 标注验收通过(2023-06-23) 
DX,DX-BZ-2023-0102,17739,复制任务17488 2d进球识别优化,冯律,任务完成,2023/6/16,2023/6/16,2023/6/19,3,3,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2875,lustre,SH-40,64.4,已确认,FALSE,创建(2023-06-16) -> 文件上传(2023-06-16) -> 文件上传成功(2023-06-16) -> 运营调整任务完成时间(2023-06-16) -> 审核通过(2023-06-16) -> 标注完成(2023-06-16) -> 标注验收通过(2023-06-19) 
DX,DX-BZ-2023-0100,17718,进球识别标注,冯律,任务完成,2023/6/15,2023/6/16,2023/6/23,7,8,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,278,lustre,SH-40,28.36,已确认,FALSE,创建(2023-06-15) -> 文件上传(2023-06-15) -> 文件上传成功(2023-06-15) -> 审核不通过(2023-06-16) -> 文件上传(2023-06-16) -> 重新提交任务(2023-06-16) -> 文件上传成功(2023-06-16) -> 运营调整任务完成时间(2023-06-16) -> 审核通过(2023-06-16) -> 标注完成(2023-06-16) -> 标注验收通过(2023-06-23) 
DX,DX-BZ-2023-0101,17722,复制任务17488 2d进球识别优化,冯律,任务完成,2023/6/15,2023/6/15,2023/6/19,4,4,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,5046,lustre,SH-40,112.69,已确认,FALSE,创建(2023-06-15) -> 文件上传(2023-06-15) -> 文件上传成功(2023-06-15) -> 运营调整任务完成时间(2023-06-15) -> 审核通过(2023-06-15) -> 标注完成(2023-06-16) -> 标注验收通过(2023-06-19) 
DX,DX-BZ-2023-0099,17649,篮球视频视频开始时刻_进球信息标注,冯律,任务完成,2023/6/13,2023/6/14,2023/6/19,5,6,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,7,lustre,SH-40,908,已确认,TRUE,创建(2023-06-13) -> 文件上传(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传成功(2023-06-13) -> 撤回任务(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传成功(2023-06-13) -> 撤回任务(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传成功(2023-06-13) -> 运营调整任务完成时间(2023-06-14) -> 审核通过(2023-06-14) -> 标注完成(2023-06-14) -> 验收中有数据包被打回(2023-06-15) -> 标注完成(2023-06-15) -> 标注验收通过(2023-06-19) 
DX,DX-BZ-2023-0098,17632,20230527to0605回流数据检测标注,储祥翠,任务完成,2023/6/12,2023/6/15,2023/6/20,5,8,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,6917,lustre,SH-40,2240.93,已确认,FALSE,创建(2023-06-12) -> 文件上传(2023-06-12) -> 文件上传成功(2023-06-12) -> 运营调整任务完成时间(2023-06-12) -> 审核通过(2023-06-12) -> 任务标注中被运营撤回到审核中(2023-06-12) -> 运营调整任务完成时间(2023-06-12) -> 审核通过(2023-06-12) -> 标注完成(2023-06-16) -> 标注验收通过(2023-06-20) 
DX,DX-BZ-2023-0096,17598,复制任务16590 人体人脸检测，关键点标注,冯律,任务完成,2023/6/8,2023/6/9,2023/6/19,10,11,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,3032,lustre,SH-40,16659.14,已确认,FALSE,创建(2023-06-08) -> 文件上传(2023-06-08) -> 文件上传成功(2023-06-08) -> 撤回任务(2023-06-08) -> 重新提交任务(2023-06-08) -> 运营调整任务完成时间(2023-06-08) -> 审核通过(2023-06-08) -> 标注完成(2023-06-11) -> 标注验收通过(2023-06-19) 
DX,DX-BZ-2023-0097,17599,动态20230605静改动端到端采集数据检测标注,储祥翠,任务完成,2023/6/8,2023/6/12,2023/6/12,0,4,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,5905,lustre,SH-40,658.42,已确认,FALSE,创建(2023-06-08) -> 文件上传(2023-06-08) -> 文件上传成功(2023-06-08) -> 运营调整任务完成时间(2023-06-08) -> 审核通过(2023-06-08) -> 任务标注中被运营撤回到审核中(2023-06-09) -> 运营调整任务完成时间(2023-06-09) -> 审核通过(2023-06-09) -> 标注完成(2023-06-09) -> 标注验收通过(2023-06-12) 
DX,DX-BZ-2023-0095,17584,20230607乒乓球检测标注,冯律,任务完成,2023/6/7,2023/6/8,2023/6/19,11,12,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,12600,lustre,SH-40,796.99,已确认,FALSE,创建(2023-06-07) -> 文件上传(2023-06-07) -> 文件上传成功(2023-06-07) -> 运营调整任务完成时间(2023-06-07) -> 审核通过(2023-06-07) -> 标注完成(2023-06-08) -> 标注验收通过(2023-06-19) 
DX,DX-BZ-2023-0093,17577,商品检测框标注,江心雨,任务完成,2023/6/6,2023/6/8,2023/6/12,4,6,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,217,lustre,SH-40,340.82,已确认,TRUE,创建(2023-06-06) -> 文件上传(2023-06-06) -> 文件上传成功(2023-06-06) -> 运营调整任务完成时间(2023-06-07) -> 审核通过(2023-06-07) -> 标注完成(2023-06-08) -> 验收中有数据包被打回(2023-06-12) -> 标注完成(2023-06-12) -> 标注验收通过(2023-06-12) 
DX,DX-BZ-2023-0094,17576,商品检测框标注,江心雨,任务完成,2023/6/6,2023/6/8,2023/6/11,3,5,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,44,lustre,SH-40,70.07,已确认,FALSE,创建(2023-06-06) -> 文件上传(2023-06-06) -> 文件上传成功(2023-06-06) -> 运营调整任务完成时间(2023-06-07) -> 审核通过(2023-06-07) -> 标注完成(2023-06-07) -> 标注验收通过(2023-06-11) 
DX,DX-BZ-2023-0092,17509,长沙馆篮球检测标注,冯律,任务完成,2023/6/1,2023/6/1,2023/6/2,1,1,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,3011,lustre,SH-40,451.53,已确认,FALSE,创建(2023-06-01) -> 文件上传(2023-06-01) -> 文件上传成功(2023-06-01) -> 运营调整任务完成时间(2023-06-01) -> 审核通过(2023-06-01) -> 标注完成(2023-06-01) -> 标注验收通过(2023-06-02) 
DX,DX-BZ-2023-0091,17488,2d进球识别优化,冯律,任务完成,2023/5/30,2023/5/30,2023/6/2,3,3,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,15953,lustre,SH-40,357.35,已确认,FALSE,创建(2023-05-30) -> 文件上传(2023-05-30) -> 文件上传成功(2023-05-30) -> 运营调整任务完成时间(2023-05-30) -> 审核通过(2023-05-30) -> 标注完成(2023-05-30) -> 标注验收通过(2023-06-02) 
DX,DX-BZ-2023-0090,17480,20230515to26回流数据检测标注,储祥翠,任务完成,2023/5/26,2023/5/29,2023/6/5,7,10,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,7898,lustre,SH-40,2343.63,已确认,TRUE,创建(2023-05-26) -> 文件上传(2023-05-26) -> 文件上传成功(2023-05-26) -> 运营调整任务完成时间(2023-05-29) -> 审核通过(2023-05-29) -> 标注完成(2023-05-29) -> 验收中有数据包被打回(2023-06-02) -> 标注完成(2023-06-02) -> 标注验收通过(2023-06-05) 
DX,DX-BZ-2023-0089,17417,商品检测框标注,江心雨,任务完成,2023/5/22,2023/5/23,2023/5/24,1,2,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,338,lustre,SH-40,413.37,已确认,FALSE,创建(2023-05-22) -> 文件上传(2023-05-22) -> 文件上传成功(2023-05-22) -> 撤回任务(2023-05-22) -> 文件上传(2023-05-22) -> 重新提交任务(2023-05-22) -> 文件上传成功(2023-05-22) -> 撤回任务(2023-05-22) -> 文件上传(2023-05-22) -> 重新提交任务(2023-05-22) -> 文件上传失败(2023-05-22) -> 文件上传(2023-05-22) -> 重新提交任务(2023-05-22) -> 文件上传成功(2023-05-22) -> 运营调整任务完成时间(2023-05-23) -> 审核通过(2023-05-23) -> 标注完成(2023-05-24) -> 标注验收通过(2023-05-24) 
DX,DX-BZ-2023-0087,17372,静态商品检测框标注,江心雨,任务完成,2023/5/16,2023/5/19,2023/5/24,5,8,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2172,lustre,SH-40,3371.18,已确认,FALSE,创建(2023-05-16) -> 文件上传(2023-05-16) -> 文件上传成功(2023-05-16) -> 运营调整任务完成时间(2023-05-16) -> 审核通过(2023-05-16) -> 任务标注中被运营撤回到审核中(2023-05-17) -> 运营调整任务完成时间(2023-05-17) -> 审核通过(2023-05-17) -> 标注完成(2023-05-19) -> 标注验收通过(2023-05-24) 
DX,DX-BZ-2023-0088,17373,20230512to14回流数据检测标注,储祥翠,任务完成,2023/5/16,2023/5/17,2023/5/17,0,1,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,1659,lustre,SH-40,508.17,已确认,FALSE,创建(2023-05-16) -> 文件上传(2023-05-16) -> 文件上传成功(2023-05-16) -> 运营调整任务完成时间(2023-05-16) -> 审核通过(2023-05-16) -> 标注完成(2023-05-17) -> 标注验收通过(2023-05-17) 
DX,DX-BZ-2023-0086,17341,20230501_06半监督数据检测标注,储祥翠,任务完成,2023/5/15,2023/5/16,2023/5/17,1,2,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,847,lustre,SH-40,237.09,已确认,FALSE,创建(2023-05-15) -> 文件上传(2023-05-15) -> 文件上传成功(2023-05-15) -> 运营调整任务完成时间(2023-05-15) -> 审核通过(2023-05-15) -> 标注完成(2023-05-17) -> 标注验收通过(2023-05-17) 
DX,DX-BZ-2023-0085,17331,20230501_03_07_08回流数据检测标注,储祥翠,任务完成,2023/5/12,2023/5/13,2023/5/17,4,5,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2873,lustre,SH-40,946,已确认,TRUE,创建(2023-05-12) -> 文件上传(2023-05-12) -> 文件上传成功(2023-05-12) -> 运营调整任务完成时间(2023-05-12) -> 审核通过(2023-05-12) -> 标注完成(2023-05-16) -> 验收中有数据包被打回(2023-05-17) -> 标注完成(2023-05-17) -> 验收中有数据包被打回(2023-05-17) -> 标注完成(2023-05-17) -> 验收中有数据包被打回(2023-05-17) -> 标注完成(2023-05-17) -> 标注验收通过(2023-05-17) 
DX,DX-BZ-2023-0084,17210,商品检测框标注,江心雨,任务完成,2023/4/24,2023/4/24,2023/5/15,21,21,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,34,lustre,SH-40,52.35,已确认,FALSE,创建(2023-04-24) -> 文件上传(2023-04-24) -> 文件上传成功(2023-04-24) -> 运营调整任务完成时间(2023-04-24) -> 审核通过(2023-04-24) -> 标注完成(2023-05-15) -> 标注验收通过(2023-05-15) 
DX,DX-BZ-2023-0081,17189,3cam 20230411to0420回流数据检测标注,储祥翠,任务完成,2023/4/21,2023/4/21,2023/4/24,3,3,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,958,lustre,SH-40,324.61,已确认,FALSE,创建(2023-04-21) -> 文件上传(2023-04-21) -> 文件上传成功(2023-04-21) -> 运营调整任务完成时间(2023-04-21) -> 审核通过(2023-04-21) -> 标注完成(2023-04-24) -> 标注验收通过(2023-04-24) 
DX,DX-BZ-2023-0082,17192,商品检测框标注,江心雨,任务完成,2023/4/21,2023/5/31,2023/4/24,0,3,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,57,lustre,SH-40,97.63,已确认,FALSE,创建(2023-04-21) -> 文件上传(2023-04-21) -> 文件上传成功(2023-04-21) -> 撤回任务(2023-04-21) -> 文件上传(2023-04-21) -> 重新提交任务(2023-04-21) -> 文件上传成功(2023-04-21) -> 运营调整任务完成时间(2023-04-21) -> 审核通过(2023-04-21) -> 标注完成(2023-04-24) -> 标注验收通过(2023-04-24) -> 运营调整任务完成时间(2023-05-31) 
DX,DX-BZ-2023-0083,17188,2cam 20230324to0420回流数据检测标注,储祥翠,任务完成,2023/4/21,2023/4/21,2023/4/24,3,3,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2800,lustre,SH-40,900.38,已确认,FALSE,创建(2023-04-21) -> 文件上传(2023-04-21) -> 文件上传成功(2023-04-21) -> 运营调整任务完成时间(2023-04-21) -> 审核通过(2023-04-21) -> 标注完成(2023-04-24) -> 标注验收通过(2023-04-24) 
DX,DX-BZ-2023-0080,17176,动态20230411上新数据检测标注,储祥翠,任务完成,2023/4/20,2023/4/24,2023/4/24,0,4,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,7348,lustre,ABUD,1366.92,已确认,FALSE,创建(2023-04-20) -> 文件上传(2023-04-20) -> 文件上传成功(2023-04-20) -> 运营调整任务完成时间(2023-04-20) -> 审核通过(2023-04-20) -> 标注完成(2023-04-24) -> 标注验收通过(2023-04-24) 
DX,DX-BZ-2023-0078,17092,3cam 20230310to0409上海人工回流数据检测标注,储祥翠,任务完成,2023/4/11,2023/4/11,2023/4/12,1,1,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,4388,lustre,SH-40,1222.72,已确认,FALSE,创建(2023-04-11) -> 文件上传(2023-04-11) -> 文件上传成功(2023-04-11) -> 运营调整任务完成时间(2023-04-11) -> 审核通过(2023-04-11) -> 标注完成(2023-04-12) -> 标注验收通过(2023-04-12) 
DX,DX-BZ-2023-0079,17098,商品检测框标注,江心雨,任务完成,2023/4/11,2023/4/13,2023/4/20,7,9,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2574,lustre,SH-40,5347.2,已确认,TRUE,创建(2023-04-11) -> 文件上传(2023-04-11) -> 文件上传成功(2023-04-11) -> 运营调整任务完成时间(2023-04-11) -> 审核通过(2023-04-11) -> 标注完成(2023-04-15) -> 验收中有数据包被打回(2023-04-20) -> 标注完成(2023-04-20) -> 标注验收通过(2023-04-20) 
DX,DX-BZ-2023-0077,17088,3cam 202304036to0410长沙人工回流数据检测标注,储祥翠,任务完成,2023/4/10,2023/4/11,2023/4/14,3,4,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,9707,lustre,SH-40,2855.86,已确认,TRUE,创建(2023-04-10) -> 文件上传(2023-04-10) -> 文件上传成功(2023-04-10) -> 运营调整任务完成时间(2023-04-11) -> 审核通过(2023-04-11) -> 标注完成(2023-04-13) -> 验收中有数据包被打回(2023-04-13) -> 标注完成(2023-04-13) -> 标注验收通过(2023-04-14) 
DX,DX-BZ-2023-0076,17063,商品检测框标注 复制[17061],李仁萱,任务完成,2023/4/6,2023/4/6,2023/4/19,13,13,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,78,lustre,SH-40,157.6,已确认,FALSE,创建(2023-04-06) -> 文件上传(2023-04-06) -> 文件上传成功(2023-04-06) -> 运营调整任务完成时间(2023-04-06) -> 审核通过(2023-04-06) -> 标注完成(2023-04-08) -> 标注验收通过(2023-04-19) 
DX,DX-BZ-2023-0074,17048,商品检测框标注,江心雨,任务完成,2023/4/4,2023/4/5,2023/5/15,40,41,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,225,lustre,SH-40,104.29,已确认,FALSE,创建(2023-04-04) -> 文件上传(2023-04-04) -> 文件上传成功(2023-04-04) -> 运营调整任务完成时间(2023-04-04) -> 审核通过(2023-04-04) -> 标注完成(2023-05-15) -> 标注验收通过(2023-05-15) 
DX,DX-BZ-2023-0070,17004,半监督20230328订单数据检测标注,储祥翠,任务完成,2023/4/3,2023/4/7,2023/4/4,0,1,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2483,lustre,SH-40,728.49,已确认,TRUE,创建(2023-04-03) -> 文件上传(2023-04-03) -> 文件上传成功(2023-04-03) -> 运营调整任务完成时间(2023-04-03) -> 审核通过(2023-04-03) -> 标注完成(2023-04-03) -> 验收中有数据包被打回(2023-04-04) -> 标注完成(2023-04-04) -> 标注验收通过(2023-04-04) 
DX,DX-BZ-2023-0071,17018,动态冻柜上新20230331订单数据检测标注,储祥翠,任务完成,2023/4/3,2023/4/7,2023/4/7,0,4,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,6590,lustre,SH-40,1118.71,已确认,TRUE,创建(2023-04-03) -> 文件上传(2023-04-03) -> 文件上传成功(2023-04-03) -> 运营调整任务完成时间(2023-04-03) -> 审核通过(2023-04-03) -> 标注完成(2023-04-04) -> 验收中有数据包被打回(2023-04-07) -> 标注完成(2023-04-07) -> 标注验收通过(2023-04-07) 
